Result file for: SPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 9/6/2016 2:14:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response codes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0: No response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1: False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2: False Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3: User was unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4: Correct positive response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5: Correct negative response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responses:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #9 Target Time Stamp :,0,0,0,0,0,7.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.352,0,0,7.951,0,0,0,0,0,7.534,0,0,0,,
UAV #9 Response Time:,0,0,0,0,0,2.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,0,0,2.951,0,0,0,0,0,2.534,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,2a,3a,5a,6a,7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #10 Responses :,5,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #10 Target Time Stamp :,0,8.088,0,6.932,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAV #10 Response Time:,0,4.088,0,2.932,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint#:,5a,15a,16a,17a,21a,22a,23a,36a,39a,40a,41a,45a,52a,55a,57a,58a,61a,66a,69a,73a,76a,83a,84a,,,,,,,,,,,,,,
UAV #11 Responses :,5,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,4,5,,,,,,,,,,,,,,
UAV #11 Target Time Stamp :,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.078,0,6.715,0,,,,,,,,,,,,,,
