ParticipantNumber,TryNumber,Workload,simulationDateTime,Counter,CursorX,CursorY,CursorState,LeftEyeX,LeftEyeY,LeftEyeZ,LeftEyePupilDiamet,LeftEyePupilValid,RightEyeX,RightEyeY,RightEyeZ,RightEyePupilDiame,RightEyePupilValid,FixedPogX,FixedPogY,FixedPogStart,FixedPogDuration,FixedPogId,FixedPogValid,LeftPogX,LeftPogY,LeftPogValid,RightPogX,RightPogY,RightPogValid,BestPogX,BestPogY,BestPogValid,LeftPupilX,LeftPupilY,LeftPupilDiameter,LeftPupilScale,LeftPupilValid,RightPupilX,RightPupilY,RightPupilDiameter,RightPupilScale,RightPupilValid,MarkerX,MarkerY,MarkerScale,MarkerValid,SystemTime,Time,TimeTick,UserData,MissionTime
114,T,Training,D20200305T0747,220546,1002.4960000000001,841.6656,0,-74.5984,-28.944000000000003,0.69776,4.08,1,97.40799999999999,-33.696,0.73763,4.09,1,1541.1712,21.0528,1536.3770000000002,0.09998,5118,1,1603.9168,-53.4816,1,1553.7152,3.9024,1,1578.8288,-24.7968,1,1002.4960000000001,841.6656,17.897270000000002,1.02362,1,1626.6752,855.8208,16.1525,1.02362,1,0.51493,0.52055,0.2062,1,7:47:43 AM,1536.477,2350000000000.0,,2.2509999999999764
114,T,Training,D20200305T0747,220547,1002.24,841.8816,0,-74.5984,-28.944000000000003,0.69776,4.1,1,97.40799999999999,-33.696,0.73763,4.07,1,1541.76,14.3712,1536.3770000000002,0.10680999999999999,5118,1,1565.1072,-107.5392,1,1537.408,-77.6592,1,1551.2576,-92.59200000000001,1,1002.24,841.8816,17.63032,1.02362,1,1626.0608,856.0944,16.42449,1.02362,1,0.51493,0.52055,0.2062,1,7:47:43 AM,1536.483,2350000000000.0,,2.2569999999998345
114,T,Training,D20200305T0747,220548,1002.1888,841.9104,0,-74.5984,-29.016,0.69776,4.06,1,92.416,-32.2416,0.70081,4.05,1,1542.2208,8.8848,1536.3770000000002,0.11462,5118,1,1565.1072,-107.5392,1,1534.5664,-61.5312,1,1549.8496,-84.52799999999999,1,1002.1888,841.9104,17.73019,1.02362,1,1626.24,856.5552,16.57602,1.01489,1,0.51498,0.5211,0.20636999999999997,1,7:47:43 AM,1536.491,2350000000000.0,,2.2649999999998727
114,T,Training,D20200305T0747,220549,1001.7536,842.4,0,-74.5984,-29.016,0.69776,4.03,1,92.416,-32.2416,0.70081,4.05,1,1542.6304,5.2992,1536.3770000000002,0.12036,5118,1,1570.816,-55.5408,1,1529.7792,-62.4672,1,1550.2848,-58.9968,1,1001.7536,842.4,17.9176,1.01489,1,1625.5488,857.0880000000001,17.17437,1.00616,1,0.51498,0.5211,0.20636999999999997,1,7:47:43 AM,1536.497,2350000000000.0,,2.270999999999958
114,T,Training,D20200305T0747,220550,1002.1376,842.0976,0,-74.5984,-29.016,0.69776,4.03,1,92.416,-32.2416,0.70081,4.13,1,1543.424,2.7072,1536.3770000000002,0.12695,5118,1,1575.296,-35.3808,1,1541.5808,-58.032,1,1558.4256,-46.7136,1,1002.1376,842.0976,17.682029999999997,1.00616,1,1625.6768,857.2032,16.8134,0.9974299999999999,1,0.5150100000000001,0.5213399999999999,0.20674,1,7:47:43 AM,1536.504,2350000000000.0,,2.2779999999997926
114,T,Training,D20200305T0747,220551,1002.1376,842.184,0,-73.1648,-28.4976,0.68542,4.0,1,97.40799999999999,-33.9408,0.73763,4.25,1,1553.1008,-34.4592,1536.3770000000002,0.12695,5118,0,1575.4752,-5.8464,1,1538.944,-43.3728,1,1557.1968,-24.6096,1,1002.1376,842.184,17.76288,0.98962,1,1626.1632,856.2384,16.524079999999998,0.98962,1,0.51517,0.52161,0.20728000000000002,1,7:47:43 AM,1536.51,2350000000000.0,,2.283999999999878
114,T,Training,D20200305T0747,220552,1002.5984,841.8960000000001,0,-73.1648,-28.4976,0.68542,4.04,1,97.40799999999999,-33.9408,0.73763,3.94,1,1548.672,-31.3632,1536.3770000000002,0.12695,5118,0,1537.6128,-32.2416,1,1550.848,-24.3072,1,1544.2176,-28.2672,1,1002.5984,841.8960000000001,18.14394,0.9818100000000001,1,1626.3168,856.6272,16.71846,0.99054,1,0.51517,0.52161,0.20728000000000002,1,7:47:43 AM,1536.5179999999998,2350000000000.0,,2.291999999999689
114,T,Training,D20200305T0747,220553,1003.008,841.7088,0,-73.1648,-28.4976,0.68542,4.14,1,97.40799999999999,-33.9408,0.73763,3.98,1,1546.9056,-4.5936,1536.3770000000002,0.12695,5118,0,1534.976,41.9904,1,1551.8208,55.9008,1,1543.3984,48.9456,1,1003.008,841.7088,17.72145,0.9827299999999999,1,1626.24,856.44,16.7412,0.99146,1,0.51517,0.52161,0.20728000000000002,1,7:47:43 AM,1536.524,2350000000000.0,,2.2979999999997744
114,T,Training,D20200305T0747,220554,1002.7264,841.7952,0,-74.0096,-28.7424,0.69476,4.07,1,97.40799999999999,-33.9408,0.73763,3.97,1,1546.368,4.9536,1536.51,0.02002,5119,1,1534.592,26.7264,1,1554.8416,40.4208,1,1544.704,33.5664,1,1002.7264,841.7952,18.1831,0.99146,1,1626.4192,856.2384,16.67926,1.00019,1,0.51549,0.52113,0.20658,1,7:47:43 AM,1536.531,2350000000000.0,,2.3049999999998363
114,T,Training,D20200305T0747,220555,1003.5456,840.9456,0,-74.0096,-28.7424,0.69476,4.01,1,97.40799999999999,-33.9408,0.73763,4.13,1,1551.1808,0.6912,1536.51,0.027339999999999996,5119,1,1547.8272,5.5296,1,1593.2160000000001,-38.1456,1,1570.5088,-16.3008,1,1003.5456,840.9456,17.59872,1.008,1,1626.4448,855.648,16.28039,1.008,1,0.51549,0.52113,0.20658,1,7:47:43 AM,1536.5379999999998,2350000000000.0,,2.3119999999996708
