participantNumber,TrialNumber,WorkloadCondition,SystemDate,SystemTime,MissionTime,TaskType,UAVNumber,MessageTime,MessageFrom,MessageResponseRequested,MessageContent,MessageCorrectAnswer,MessageAnswerAccuracy,MessageResponseTime,FLPlannedStartTime,FLRealStartTime,FLStopSystemTime,FLStopTime,FLResponseTime,FLAccuracy,TDWaypointOrder,TDWaypointLocation,TDTargetPresent,TDTargetSpawnTime,TDFinalInput,TDRespone,TDButtonClickTime,TDResponseTimestamp,TDResponseTime,RRTimePlanProjNFZ,RRTimeProjNFZ,RRTimeofRR,RRFinalInput,RRSuccessfulRR,RRResponseTime,Score,HighestPossibleScore
227,1,G,3/12/2020,33:20.3,70.05389,TargetDetection,10,,,,,,,,,,,,,,7,1,1,8,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:20.3,70.05389,Reroute,10,,,,,,,,,,,,,,,,,,,,,,,70,70.05389,84.64054,1,1,14.58665,30,30
227,1,G,3/12/2020,33:30.2,80.01476,TargetDetection,7,,,,,,,,,,,,,,8,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.2,80.01476,TargetDetection,8,,,,,,,,,,,,,,8,8,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.2,79.99311,TargetDetection,16,,,,,,,,,,,,,,8,16,1,8,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:30.3,80.05562,TargetDetection,1,,,,,,,,,,,,,,8,9,1,5,1,TP,89.24535,9.169773,4.169773,,,,,,,100,100
227,1,G,3/12/2020,33:30.2,80.01476,TargetDetection,13,,,,,,,,,,,,,,8,15,1,5,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:30.2,80.01476,TargetDetection,5,,,,,,,,,,,,,,8,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.2,80.01476,TargetDetection,6,,,,,,,,,,,,,,8,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.3,80.05562,TargetDetection,3,,,,,,,,,,,,,,8,1,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.2,80.01476,TargetDetection,12,,,,,,,,,,,,,,8,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:30.2,79.99311,TargetDetection,2,,,,,,,,,,,,,,8,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.3,90.04714,TargetDetection,5,,,,,,,,,,,,,,9,7,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.3,90.04714,TargetDetection,6,,,,,,,,,,,,,,9,6,1,6,1,TP,99.10181,8.482665,4.482665,,,,,,,100,100
227,1,G,3/12/2020,33:40.2,90.00156,TargetDetection,7,,,,,,,,,,,,,,9,4,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.3,90.04714,TargetDetection,13,,,,,,,,,,,,,,9,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.2,89.97841,TargetDetection,9,,,,,,,,,,,,,,9,16,1,7,1,FN,,,,,,,,,,-100,50
227,1,G,3/12/2020,33:40.3,90.06792,TargetDetection,15,,,,,,,,,,,,,,9,13,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.3,90.06792,TargetDetection,12,,,,,,,,,,,,,,9,8,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.2,90.00156,TargetDetection,8,,,,,,,,,,,,,,9,12,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.2,90.00156,TargetDetection,16,,,,,,,,,,,,,,9,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.3,90.04714,TargetDetection,1,,,,,,,,,,,,,,9,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.2,89.97841,TargetDetection,4,,,,,,,,,,,,,,9,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.2,89.97841,TargetDetection,14,,,,,,,,,,,,,,9,10,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.2,89.97841,TargetDetection,10,,,,,,,,,,,,,,9,11,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:40.3,90.06792,TargetDetection,11,,,,,,,,,,,,,,9,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.3,100.0418,TargetDetection,1,,,,,,,,,,,,,,10,11,1,5,1,TP,108.89,8.285121,3.285121,,,,,,,100,100
227,1,G,3/12/2020,33:50.3,100.0418,TargetDetection,4,,,,,,,,,,,,,,10,4,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,100.0017,TargetDetection,8,,,,,,,,,,,,,,10,16,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,99.95994,TargetDetection,5,,,,,,,,,,,,,,10,3,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,99.95994,TargetDetection,6,,,,,,,,,,,,,,10,2,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,100.0017,TargetDetection,16,,,,,,,,,,,,,,10,14,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,100.0017,TargetDetection,9,,,,,,,,,,,,,,10,12,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,100.0017,TargetDetection,12,,,,,,,,,,,,,,10,4,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.2,100.0017,TargetDetection,13,,,,,,,,,,,,,,10,15,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.3,100.0623,TargetDetection,11,,,,,,,,,,,,,,10,10,1,7,1,TP,110.1527,9.547896,6.547896,,,,,,,100,100
227,1,G,3/12/2020,33:40.3,90.06792,Reroute,15,,,,,,,,,,,,,,,,,,,,,,,90,90.06792,97.78671,1,1,7.718788,30,30
227,1,G,3/12/2020,33:50.3,100.0418,TargetDetection,14,,,,,,,,,,,,,,10,9,0,NA,1,TN,,,,,,,,,,50,50
227,1,G,3/12/2020,33:50.3,100.0623,TargetDetection,3,,,,,,,,,,,,,,10,5,1,6,1,FN,,,,,,,,,,-100,50
